John E. Smith	Schooner	4	61	4
John Hathaway	Brig	1	22	1
John Howland	Bark	3	79	16
John Howland	Ship	5	94	138
John P. West	Bark	8	193	74
John R. Manta	Schr	18	129	196
John Randolph	Bark	1	20	1
John W. Dodge	Bark	1	17	1
John W. Dodge	Schr	2	32	2
John Wells 	Bark	1	26	4
John Wells	Bark	3	97	31
John Wells	Ship	2	0	58
John	Ship	4	26	92
Jones	Bark	2	52	2
Jones	Ship	14	381	15
Joseph A. Manta	Schr	6	93	6
Joseph Butler	Bark	2	0	48
Joseph Grinnell	Bark	1	21	27
Joseph Maxwell	Bark	5	138	37
Joseph Maxwell	Ship	4	44	55
Joseph Meigs	Ship	5	51	165
Josephine	Bark	8	255	12
Josephine	Ship	5	153	35
Joshua Bragdon	Bark	3	59	65
Julian	Ship	6	90	130
Julius Caesar	Bark	1	30	0
Julius Caesar	Ship	14	402	16
Junior	Bark	1	0	39
Junior	Ship	6	63	172
Junius	Bark	3	41	68
Juno	Bark	1	14	0
Juno	Brig	15	188	135
Kate Cory	Bark	1	19	3
Kate Cory	Brig	2	40	28
Kate Cory	Schr	2	40	48
Kathleen	Bark	15	322	176
Kensington	Ship	2	10	83
Keoka	Bark	2	23	54
Kingfisher II	Bark	2	58	34
Kingfisher	Schr	1	13	3
Kingfisher	Ship	1	0	30
Kingston	Ship	3	56	146
Kutusoff	Ship	5	32	181
L. C. Richmond	Ship	6	43	190
Laconia	Bark	4	92	4
Laetitia	Bark	8	160	59
Lafayette	Bark	5	89	98
Lafayette	Ship	2	0	51
Lagoda	Bark	8	174	61
Lagoda	Ship	5	30	155
LaGrange	Bark	9	67	134
LaGrange	Brig	3	21	44
Lalla Rookh	Bark	1	0	27
Lalla Rookh	Ship	2	5	72
Lancaster	Ship	7	94	194
Lancer	Bark	5	128	33
Lancer	Ship	4	87	65
Lapwing	Ship	3	57	77
Lark	Bark	5	116	2
Latona	Ship	1	0	12
Laura	Schr	1	13	1
Laura	Ship	1	14	0
Laurel	Brig	4	5	53
Leader 	Schooner	1	13	1
Leader	Bark	1	21	1
